"Gene"	"X3UTR"	"X5UTR"	"CDS"	"promCore"
"BORA"	0.942389275233719	0.454648722221727	0.669148451594605	0.777153623341054
"BPIFA1"	NA	0.457702973990929	0.788599750778817	0.823488750584604
"BPIFB2"	0.439000010789978	0.013125831992215	0.899096205732378	0.00799431922357822
"BRAF"	0.397667668860493	0.052514926128969	3.20313958500876e-15	0.767157618825801
"BRCA2"	0.982402969327982	0.480794872850183	0.000921921272109137	1
"BRD2"	0.0422089492516611	0.240514626068111	0.717814988906083	0.790519046232092
"BRD7"	0.939753118969927	0.362954565151052	9.48350945361745e-06	0.639455714449825
"BRD8"	0.584598742263801	0.24353167093137	0.0248569039551838	0.842232475467235
"BTK"	0.867507989359023	0.236647360863402	0.929577967884835	0.0637327428407523
"BTN3A2"	0.563910389884105	0.324095081881325	0.729706742712173	0.941601856295511
"BUB3"	0.479512911812606	0.0751473679552525	0.855063794662019	0.277141855681595
"C1QB"	NA	0.398160794478629	0.972837870661686	0.562850076905776
"C1QBP"	NA	0.215975978987197	0.869368648718437	1
"C1R"	0.0453530128259774	0.232296299797036	0.31892724090601	0.579115604997944
"C20orf201"	NA	0.445347617192238	0.611859901931233	0.93237018102229
"C3"	NA	0.109665898499735	0.596989303857195	0.587819736001456
"C3orf35"	0.759104376499876	0.48357084015342	0.489252137542113	0.796117027227309
"C4A"	NA	0.454201745084076	0.597750283120442	1
"C4B"	NA	0.440969566701915	0.906872763085923	1
"C4BPA"	0.468955033270693	0.222602325186731	0.539879557703434	0.146441941291258
"C5"	0.0777098622012454	0.0340784950808112	0.849211401939835	0.12112889577387
"C6"	0.995265776070131	0.474755507139423	0.448778171260662	0.782882877429199
"C7"	0.954102203984463	0.281548324835532	0.227262042631231	0.520558497527569
"CAB39"	0.231147522903356	0.354536339962235	0.633872574917558	0.729893275137098
"CACNA1H"	0.831203984987182	0.36017649232943	0.19649198708839	0.346966374194882
"CACNA1I"	0.551211968751498	NA	0.883372125005862	0.749206134043859
"CACNB3"	NA	0.181206141874598	0.433986264236574	0.3653548485387
"CACNG2"	0.0441697741312125	0.152917186166663	0.522076819605403	0.726021627347762
"CACNG4"	0.87635649034804	0.465944706819178	0.480040128025511	1
"CALM1"	0.0112186122286289	0.239256401214089	0.179059779071006	0.804305206197235
"CALM2"	0.000265402581478897	0.00107049816926156	0.635173699996402	0.00557488882479093
"CAMK2B"	0.267014305976808	0.198095800635337	0.891333906735025	0.821686710162606
"CAMK2G"	0.319299310308742	0.293297423717421	0.630467204277168	0.375844983870584
"CAMK4"	0.776645444430919	0.405274639075912	0.146388486002217	0.551736811424719
"CAMP"	NA	0.0822600161989815	0.946034771646219	0.450555680107279
"CAND1"	0.596506480613258	0.102404822459205	0.295011359119225	0.316562552963217
"CAP1"	0.462224374291144	0.148388967812446	0.74283600793121	0.338937701470347
"CAPNS1"	NA	0.334621121086221	0.470376904594084	0.521351520995429
"CARD9"	NA	0.449361799400613	0.173358285412071	0.612248763001485
"CARS2"	NA	0.35465686245858	0.755833376207057	0.767236960338774
"CASP1"	0.506019231001521	0.127517824341622	0.0441450262060772	0.26797009292723
"CASP4"	0.784780799078685	0.339907603737339	0.721262314593965	0.607253507035259
"CASP8"	0.906021068479319	0.228100813038098	3.55615845498144e-05	0.295489519052889
"CAT"	0.401334887414715	0.455589223521548	0.633771437947069	0.543741330454221
"CAV1"	0.0248268420737475	0.247704087984033	0.821704144501191	0.702291232017393
"CBL"	0.243196585666282	0.406323700785919	0.0818088375403003	0.820206011136055
"CBLB"	0.40214153174765	0.369544130558529	0.0193806683191349	0.712151322927107
"CBX5"	0.597908710642672	0.373226812129145	0.750217414165707	0.0577409686679387
"CCAR2"	0.895854926082217	0.367012833643874	0.0392560978280241	0.611947053219874
"CCL2"	0.987910771601258	0.43667178986104	0.713407982118488	0.594715630585724
"CCL20"	0.8406216032448	0.379695019693017	0.984045294197274	0.788941409436592
"CCL22"	0.793374713454643	0.485611833623868	0.946251662660687	0.855372750733142
"CCL27"	NA	0.350955751047289	0.950795488512063	0.810596984183908
"CCL3L1"	NA	0.483852346143211	0.999735500951565	1
"CCL4"	0.992492649146381	0.497446579181593	0.977937213846227	1
"CCNC"	0.44329225672132	0.240416942371869	0.947948625204649	0.363101452631074
"CCNF"	0.599705283526903	0.473461277191716	0.956133247055746	0.721531478813802
"CCR1"	0.761292926555942	0.47454950588642	0.864804034578926	0.822803206100112
"CCR4"	0.728930742072419	0.188154910184836	0.791615648929575	0.137479900234561
"CCR6"	0.951183022955722	0.42728759601553	0.972049696455296	0.90797740977527
"CCS"	NA	0.311603852544051	0.962568578323684	0.603990313663884
"CCT4"	0.377289443578534	0.141542988858805	0.803647762801797	0.115868014713536
"CCT5"	0.758441115589037	0.306000890571751	0.802874995931329	0.680624243665544
"CCT8"	0.836913108765781	0.019911147438888	0.492578314328087	0.243928976131649
"CD14"	NA	0.221076476529822	0.986276180990235	0.47837572854395
"CD1A"	0.0727260517397376	0.104787125831323	0.85247408262011	0.732466801008044
"CD200R1"	0.556721964514703	0.454180423601978	0.846035242095321	0.929868928693622
"CD27"	0.632444411068414	0.236411583504496	0.642944624954935	0.481012452888898
"CD300E"	0.337380796692328	0.236978350546461	0.980837311362115	0.588307728466658
"CD300LD"	0.523753018874433	NA	0.86554172093072	NA
"CD300LG"	0.998328514339715	0.0229243465723299	0.569560519075582	0.518195416804733
"CD33"	0.897391890186905	0.406435269583156	0.546070627023094	0.798139673742069
"CD3D"	0.724721530426033	0.136515973213128	0.0932772820427984	0.540612333748433
"CD46"	0.380344152915096	0.291874578631826	0.0578171565747839	0.647912422488839
"CD47"	0.792095073594641	0.499762606316852	0.793552300761037	0.805242214733688
"CD48"	0.167905150922148	0.494219396842249	0.97019300734146	0.56015427223365
"CD72"	0.0845261838221215	0.478382366152739	0.77075456692249	0.890155535754638
"CD80"	0.78058958377027	0.081933788966083	0.0637301874056141	0.474501264036428
"CD9"	0.247771513128971	0.277999673386411	0.303348283526214	0.800192517760546
"CDC37L1"	0.698610970742086	0.091621876153165	0.392430693886632	0.0187897002333765
"CDCA8"	0.975469427548712	0.467714049452012	0.686879828007928	0.852413221377876
"CDH1"	0.747166588570112	0.177942542014567	4.91391321824741e-15	0.209072997169419
"CDH10"	0.0648823437360069	0.126852954311047	0.432664669428179	0.33627577421666
"CDH13"	0.829437548787224	0.233481038780714	0.622310312504569	0.0834637359520038
"CDH15"	NA	0.461336734306806	0.928351985336717	0.944970092162727
